Run	SubRun	Entry	EV	GTID	OWLHits	NHits	Clock50MHz	DeltaT(s)
300013	1	512164	0	8837997	0	3023	283085840496	449.149
300013	2	73616	0	9025348	0	5700	286759617210	73.4755
300013	3	387950	0	9965759	0	3168	305157136045	367.95
300013	4	358114	0	10561695	0	4413	316799870779	232.855
300013	5	355383	0	11185201	0	3096	329021125106	244.425
300013	6	433421	0	11889006	23	8521	342780349119	275.184
300013	6	615131	0	12070719	0	3914	346310863233	70.6103
300013	7	329538	0	12410572	0	4766	352974205761	133.267
300013	13	238612	0	16087258	0	3165	423865099979	1417.82
300014	0	2785	0	253626	28	6199	441003780997	342.774
300014	0	537390	0	788240	0	3108	451453836984	209.001
300014	6	89908	0	4096636	0	3185	516102794491	1292.98
300014	7	372836	0	5005677	0	5785	533878820310	355.521
300014	8	47077	0	5305635	11	8252	539740155574	117.227
300014	8	569944	0	5828510	0	3618	549981028920	204.817
300014	10	53906	0	6563635	0	3272	564318227191	286.744
300014	12	53000	0	7813726	0	3128	588728724979	488.21
300014	13	335414	0	8722983	0	6733	606468337602	354.792
300015	1	379199	0	10470582	0	3667	640638292063	683.399
300015	3	231747	0	11575207	0	3077	662229240824	431.819
300015	4	376332	0	12345679	0	5112	677304861762	301.512
300015	5	229340	0	12824243	0	3685	686641500688	186.733
300015	8	358374	0	14831515	0	5383	725886292986	784.896
300015	10	56818	0	15782334	0	3267	744425917819	370.792
300015	10	377567	0	16103088	0	4099	750681765787	125.117
300015	12	33277	0	299709	0	3180	768454299084	355.451
300015	13	97071	0	989205	0	4696	781943020662	269.774
300016	0	188234	0	2155870	0	4128	804734712272	455.834
300016	1	42105	0	2641810	0	5212	813283822666	170.982
300016	3	396472	0	4246882	0	3565	844617395122	626.671
300016	3	460203	0	4310614	1	5280	845857925301	24.8106
300016	4	497288	0	4972771	0	3064	858746798905	257.777
300016	6	58112	0	5784907	0	4804	874581380685	316.692
300016	8	391513	0	7370489	0	4714	905612952236	620.631
300016	11	134721	0	8991132	0	4706	937272677232	633.194
300016	14	244324	0	10978863	12	3813	976106217952	776.671
300017	0	110680	0	11345294	0	4814	983280624270	143.488
300017	0	485757	0	11720376	0	3049	990605926932	146.506
300017	1	468613	0	12328450	0	4058	1002482632166	237.534
300017	5	409866	0	14772327	0	5110	1050237732222	955.102
300017	5	567188	0	14929651	0	3865	1053300937786	61.2641
300017	13	379297	0	3036408	0	6140	1147470669294	1883.39
300018	0	127031	0	3864004	22	4183	1163645445282	323.496
300018	0	202100	0	3939075	28	4564	1165117255036	29.4362
300018	1	31717	0	4393852	0	4477	1174020106968	178.057
300018	2	623117	0	5610714	32	3215	1197812866801	475.855
300018	3	617897	0	6230984	40	8206	1209952888733	242.8
300018	4	339267	0	6577829	0	5237	1216728061397	135.503
300018	7	22426	0	8138107	0	4831	1247216235642	609.763
300018	7	221691	0	8337375	14	8166	1251101476132	77.7048
300018	9	370216	0	9744363	0	4960	1277604315775	530.057
300018	12	274133	0	11525270	20	8157	1312427437438	696.462
300018	12	616021	0	11867164	23	8347	1319139177073	134.235
300018	13	328528	0	12204907	0	5906	1325733381309	131.884
300018	14	69539	0	12571336	18	8424	1332879936399	142.931
300019	0	225466	0	13225411	0	3204	1345642788631	255.257
300019	1	274467	0	13899149	0	5685	1358823853166	263.621
300019	1	346919	0	13971602	21	8302	1360247659097	28.4761
300019	4	54552	0	15556516	0	4850	1391194654554	618.94
300019	5	421896	0	16549620	0	3260	1410642954534	388.966
300019	7	286174	0	953828	0	4850	1432424601441	435.633
300019	11	143439	0	3314657	0	5775	1478541122461	922.33
300019	13	505501	0	4928544	0	3462	1510059339476	630.364
300020	0	476352	0	5979716	14	8421	1530592905149	410.671
300020	1	376131	0	6504991	0	5437	1540843191853	205.006
300020	3	540551	0	7921672	0	4902	1568555829656	554.253
300020	6	158973	0	9417049	0	6582	1597758466224	584.053
300020	6	361346	0	9619425	0	4983	1601713756773	79.1058
300020	8	512530	0	11021632	0	5721	1629087556184	547.476
300020	10	17041	0	11777669	0	3589	1643820871329	294.666
300020	13	90145	0	13728557	30	4378	1681886061663	761.304
300020	14	19427	0	14284263	0	3868	1692723384505	216.746
300021	0	63890	0	14789638	42	8533	1702578612655	197.105
300021	0	298455	0	15024207	0	6129	1707013606277	88.6999
300021	1	220565	0	15579057	0	4368	1717107841147	201.885
300021	3	22815	0	16634152	0	3022	1737734015697	412.523
300021	3	588119	0	487784	0	4178	1748737398648	220.068
