Run	SubRun	Prompt Entry	Prompt EV	Prompt GTID	Prompt Energy	Prompt Radius	Prompt OWLHits	Prompt NHits	Prompt 50MHz	Delayed Entry	Delayed EV	Delayed GTID	Delayed Energy	Delayed Radius	Delayed OWLHits	Delayed NHits	Delayed 50MHz	Delta T(ms)	Delta R(m)
300782	2	522977	0	16091239	0.90813	5789.74	0	241	2379271440122	522982	0	16091244	2.32659	5879.35	0	488	2379271567555	2.54866	6005.81
300782	3	628525	0	119165	1.02563	5971	0	231	2392847457131	628527	0	119167	2.02231	5822.73	0	483	2392847586671	2.5908	11641.7
300782	4	101484	0	228381	0.961158	5969.92	0	239	2395018153032	101495	0	228392	2.13688	5910.84	0	553	2395018406003	5.05942	10367.5
300782	9	248691	0	3519168	0.910377	5926.77	0	223	2459700819320	248710	0	3519187	2.07286	5617.22	0	548	2459701062723	4.86806	9926.44
300782	10	9428	0	3908074	0.905594	5904.03	0	248	2467345292288	9447	0	3908093	1.92769	5447.22	0	530	2467345438570	2.92564	10241
300782	11	534590	0	5062568	1.15909	5801.79	1	297	2489945989128	534617	0	5062595	2.35892	5493.34	0	672	2489946416727	8.55198	11006.2
300783	1	454592	0	7906151	0.950626	5726.19	0	287	2545902625462	454607	0	7906166	2.20946	5925.05	0	449	2545902910711	5.70498	11447.2
300783	4	46481	0	9382038	1.22184	5906.05	0	306	2574927981175	46492	0	9382049	1.86791	5960.26	0	458	2574928172097	3.81844	4108.18
300783	4	544472	0	9880036	5.19947	385.588	0	1830	2584748329605	544473	0	9880037	2.41267	1094.11	0	1293	2584748329628	0.00046	1007.4
300783	5	472257	0	10435254	4.38119	5879.1	0	869	2595666874142	472275	0	10435272	2.20192	4506.54	0	654	2595667273440	7.98596	3413.68
300783	10	154130	0	13256807	0.929429	5931.83	0	218	2651253017164	154146	0	13256823	1.94469	5559.41	0	497	2651253404009	7.7369	8096.15
300783	11	343568	0	14074304	0.982159	5879.85	0	250	2667376772147	343576	0	14074312	2.14555	5813.66	0	537	2667376842967	1.4164	11159.4
300783	12	348724	0	14707676	0.96922	5884.06	0	248	2679846021922	348727	0	14707679	2.18248	5877.68	0	435	2679846148374	2.52904	5011.43
300783	13	170325	0	15157347	0.989551	5947.86	0	244	2688697060892	170354	0	15157376	1.96343	5886.54	0	389	2688697520511	9.19238	8408.96
300804	0	361209	0	434452	0.910877	5644.28	0	240	3550631804552	361216	0	434459	2.21277	5820.08	0	590	3550631944441	2.79778	11456.5
300804	4	10844	0	2595548	0.924942	5903.24	0	215	3593232101377	10870	0	2595574	1.91699	5722.31	0	495	3593232492069	7.81384	4825.07
300804	4	10864	0	2595568	0.907592	5863.63	0	255	3593232395310	10870	0	2595574	1.91699	5722.31	0	495	3593232492069	1.93518	4680.79
300804	4	192062	0	2776769	1.62522	4734.07	0	1254	3596798093604	192063	0	2776770	2.11213	5749.54	0	1260	3596798093627	0.00046	8206.05
300804	9	442275	0	6168115	0.921711	5970.77	0	224	3663593461210	442278	0	6168118	2.25538	5536.7	0	657	3663593520116	1.17812	3268.28
300804	13	119375	0	8358383	0.937051	5957.97	0	184	3706728192800	119388	0	8358396	2.06299	5922.74	0	520	3706728504525	6.2345	7990.11
300804	13	145949	0	8384957	0.939861	5884.98	0	232	3707248508146	145962	0	8384970	2.29104	5886.77	0	521	3707248751697	4.87102	9688.62
300809	1	66727	0	9733138	0.934741	5892.83	0	196	4402207908563	66742	0	9733153	2.20632	5935.01	0	523	4402208265277	7.13428	11572.4
300809	1	348309	0	10014724	1.92607	5757.6	0	479	4407756516609	348325	0	10014740	2.30841	5882.02	0	559	4407757010094	9.8697	6765.58
300809	1	355436	0	10021851	0.902304	5898.35	0	231	4407898327323	355454	0	10021869	2.26826	5613.55	0	594	4407898659623	6.646	7983.95
300809	10	560062	0	15880127	1.62567	1736.09	1	1094	4523241920879	560063	0	15880128	1.95023	2048.2	1	1199	4523241920902	0.00046	1543.42
300809	10	560063	0	15880128	1.95023	2048.2	1	1199	4523241920902	560064	0	15880129	2.08901	3156.23	0	1171	4523241920925	0.00046	4826.95
300809	13	39398	0	533464	1.79198	3654.4	0	1267	4550090353993	39399	0	533465	2.14645	3599.03	0	1249	4550090354016	0.00046	2741.72
300809	13	105363	0	599430	0.909994	5954.61	0	215	4551391996905	105388	0	599455	1.97327	5778.02	0	493	4551392463344	9.32878	9775.33
300814	0	361930	0	6693816	2.78673	5851.73	0	554	5088997404971	361943	0	6693829	2.13293	5868.05	0	428	5088997614798	4.19654	83.7875
300814	1	125070	0	7084194	3.16898	2207.31	0	1749	5096668102225	125078	0	7084202	2.0243	3029.81	0	1212	5096668102408	0.00366	5162.24
